RSC ID,Name,Team,Day,Game #,Points,Goals,Assists,Saves,Shots,Team Against,Tier,FF Games,Wins,Losses,Points Against,Goals Against,Assists Against,Saves Against,Shots Against,PPG,GPG,APG,SvPG,ShPG,PAPG,GAPG,AAPG,SvAPG,ShAPG,OPPG,OGPG,OAPG,OSvPG,OShPG,OPAPG,OGAPG,OAAPG,OSvAPG,OShAPG,Goals On Field,Points Ratio,Goals Ratio,Assists Ratio,Saves Ratio,Shots Ratio
RSC001945,Brody,Radishes,1,1,260,1,0,1,3,Double Mint,Premier,,,1,294.3333333,0.6666666667,0.6666666667,1,2.333333333,401.7037037,0.5555555556,0.462962963,2.111111111,2.407407407,356.5740741,0.7283950617,0.5864197531,1.419753086,3.061728395,349.5198718,0.7115384615,0.5222527473,1.403937729,2.595787546,381.2052198,0.835989011,0.6253968254,1.497130647,2.832387057,1,0.7497168743,0.5,0,1,0.7142857143
RSC005917,GAVALANCHE,Radishes,1,1,138,0,0,0,2,Double Mint,Premier,,,1,294.3333333,0.6666666667,0.6666666667,1,2.333333333,375.9642857,0.6964285714,0.4821428571,1.821428571,2.696428571,358.297619,0.744047619,0.5892857143,1.404761905,3.083333333,349.5198718,0.7115384615,0.5222527473,1.403937729,2.595787546,381.2052198,0.835989011,0.6253968254,1.497130647,2.832387057,1,0.7497168743,0.5,0,1,0.7142857143
RSC002103,orso,Radishes,1,1,264,0,0,2,0,Double Mint,Premier,,,1,294.3333333,0.6666666667,0.6666666667,1,2.333333333,308.2,0.2,0,2.2,1.6,390,0.9333333333,0.9333333333,1.4,3.066666667,349.5198718,0.7115384615,0.5222527473,1.403937729,2.595787546,381.2052198,0.835989011,0.6253968254,1.497130647,2.832387057,1,0.7497168743,0.5,0,1,0.7142857143
RSC002714,.Andy,Double Mint,1,1,378,1,1,1,3,Radishes,Premier,,1,,220.6666667,0.3333333333,0,1,1.666666667,357.375,0.75,0.4821428571,1.446428571,2.714285714,379.8630952,0.8630952381,0.6428571429,1.428571429,2.803571429,361.9559965,0.483994709,0.3150352734,2.044179894,2.234611993,368.2905644,0.801925338,0.7030129336,1.408171664,3.070576132,2,1.333836858,2,,1,1.4
RSC000128,Tylurr,Double Mint,1,1,357,1,1,1,3,Radishes,Premier,,1,,220.6666667,0.3333333333,0,1,1.666666667,381.3,0.75,0.7,1.4,2.9,396.2333333,0.85,0.65,1.633333333,2.95,361.9559965,0.483994709,0.3150352734,2.044179894,2.234611993,368.2905644,0.801925338,0.7030129336,1.408171664,3.070576132,2,1.333836858,2,,1,1.4
RSC000342,Ryzai,Double Mint,1,1,148,0,0,1,1,Radishes,Premier,,1,,220.6666667,0.3333333333,0,1,1.666666667,309.8846154,0.6346153846,0.3846153846,1.365384615,2.173076923,367.5192308,0.7948717949,0.5833333333,1.429487179,2.743589744,361.9559965,0.483994709,0.3150352734,2.044179894,2.234611993,368.2905644,0.801925338,0.7030129336,1.408171664,3.070576132,2,1.333836858,2,,1,1.4
RSC005835,Kylau,Tarbage Grucks,1,1,375,0,0,3,1,Crooked Capos,Premier,,,1,271,0.3333333333,0.3333333333,0.6666666667,3.333333333,388.9107143,0.8571428571,0.6964285714,1.446428571,2.821428571,355.2678571,0.6488095238,0.4523809524,1.547619048,2.547619048,373.4787879,0.7818181818,0.5696969697,1.539393939,2.83030303,373.2,0.703030303,0.6060606061,1.624242424,2.648484848,0,1.01599016,0,0,3,0.3
RSC004923,Monster.,Tarbage Grucks,1,1,243,0,0,1,1,Crooked Capos,Premier,,,1,271,0.3333333333,0.3333333333,0.6666666667,3.333333333,417.2321429,0.9464285714,0.5178571429,1.5,3.071428571,355.2678571,0.6488095238,0.4523809524,1.547619048,2.547619048,373.4787879,0.7818181818,0.5696969697,1.539393939,2.83030303,373.2,0.703030303,0.6060606061,1.624242424,2.648484848,0,1.01599016,0,0,3,0.3
RSC004091,MARIO.,Tarbage Grucks,1,1,208,0,0,2,1,Crooked Capos,Premier,,,1,271,0.3333333333,0.3333333333,0.6666666667,3.333333333,313.0357143,0.625,0.5892857143,1.285714286,2.428571429,355.2678571,0.6488095238,0.4523809524,1.547619048,2.547619048,373.4787879,0.7818181818,0.5696969697,1.539393939,2.83030303,373.2,0.703030303,0.6060606061,1.624242424,2.648484848,0,1.01599016,0,0,3,0.3
RSC004459,phoenixu.u,Crooked Capos,1,1,357,1,0,1,4,Tarbage Grucks,Premier,,1,,275.3333333,0,0,2,1,333.8181818,0.5454545455,0.7090909091,1.472727273,2.127272727,373.2,0.703030303,0.6060606061,1.624242424,2.648484848,373.0595238,0.8095238095,0.6011904762,1.410714286,2.773809524,355.2678571,0.6488095238,0.4523809524,1.547619048,2.547619048,1,0.9842615012,,,0.3333333333,3.333333333
